ZIP Code,Total Population,Poverty Count,Median Household Income,SNAP Households,White Population,Black Population,American Indian Population,Asian Population,Pacific Islander Population,Other Race Population,Two or More Races Population,High School Graduate,Bachelor's Degree,Master's Degree,Doctorate Degree
00601,16721,10199,18571.0,3219,13904,314,7,19,0,1120,1357,3356,1678,408,15
00602,37510,17504,21702.0,7138,13781,520,73,44,0,1732,21360,6328,5275,1297,116
00603,48317,22683,19243.0,10261,35550,1572,32,8,0,6231,4924,10799,5980,2332,427
00606,5435,2984,20226.0,1056,3697,12,0,15,0,1332,379,1304,271,182,0
00610,25413,11145,23732.0,4936,6582,525,1,0,0,2437,15868,4899,3402,877,29
00611,1522,610,22566.0,361,861,49,0,0,0,547,65,263,248,45,19
00612,62462,25221,23831.0,12220,16305,1279,40,517,0,16392,27929,12577,10338,2208,669
00616,9836,4383,21391.0,1865,2238,487,0,152,0,2189,4770,2556,1569,169,65
00617,22699,10185,22010.0,4962,5141,678,64,284,0,5306,11226,5083,3101,806,154
00622,7950,3517,26682.0,1357,3948,383,29,0,0,2435,1155,1306,1018,325,97
00623,39005,14496,25614.0,6895,19851,2052,169,200,0,10535,6198,6391,6473,1388,565
00624,21374,10916,21091.0,4334,16401,358,0,24,0,2928,1663,4014,3128,454,93
00627,32753,12696,26094.0,6672,24474,727,46,0,0,5087,2419,5899,3791,1041,319
00631,1357,739,18295.0,352,1293,8,0,0,0,53,3,191,300,50,0
00636,1071,841,,215,754,0,0,0,0,247,70,188,165,28,0
00637,22884,10146,20665.0,3265,13227,181,19,10,0,6594,2853,5221,4087,631,77
00638,17410,10040,20878.0,4142,6008,922,243,80,0,1497,8660,3645,1883,250,66
00641,23962,12807,17839.0,5410,12759,389,18,67,0,8561,2168,4412,3212,528,44
00646,36099,10583,33184.0,4554,11388,2014,32,0,0,3988,18677,6483,6640,1703,465
00647,4611,2852,20357.0,1071,2268,234,0,4,0,1795,310,1361,434,74,0
00650,13457,7090,19811.0,3478,4380,98,0,233,0,2823,5923,3004,1542,275,0
00652,4492,1472,31653.0,798,1156,73,37,48,0,548,2630,904,836,149,29
00653,8665,5632,15225.0,2274,5188,239,0,0,0,2571,667,2267,685,290,1
00656,17815,8695,21511.0,3867,14043,407,36,20,0,2181,1128,3345,2575,603,76
00659,37203,13713,27297.0,6626,26676,1441,144,5,0,4504,4433,6461,6159,2100,318
00660,15439,6171,24829.0,2860,4525,516,0,0,0,9376,1022,3109,2874,609,49
00662,40705,18888,20673.0,6727,21410,2591,75,33,28,9978,6590,8486,6119,1518,75
00664,14816,8160,18065.0,3257,8374,312,0,0,0,4695,1435,3190,1628,470,0
00667,23116,12174,18729.0,4507,11726,771,19,0,0,7648,2952,4514,2959,606,82
00669,27534,14988,19198.0,6997,22257,580,15,0,0,2725,1957,4491,3129,1039,112
00670,8553,4574,16278.0,1657,5309,262,0,0,0,2373,609,2191,809,147,25
00674,39288,18162,20039.0,7142,9716,840,0,39,0,6265,22428,8324,5020,1390,203
00676,36836,16834,21230.0,7271,27681,1518,116,0,0,4190,3331,7879,5020,1194,320
00677,15432,6870,24746.0,2548,3340,354,20,0,0,1056,10662,2864,2335,414,149
00678,24848,11209,22994.0,4990,14542,755,77,0,0,5938,3536,4746,2994,761,190
00680,42817,22153,17857.0,9426,7318,770,28,33,0,31073,3595,7451,5563,1435,406
00682,29939,15900,18067.0,6183,4197,888,43,84,0,21606,3121,4489,3701,1292,535
00683,29431,14721,18231.0,5672,19643,307,0,9,41,6627,2804,6584,3987,909,253
00685,40323,20937,17909.0,8976,29008,907,41,0,0,6463,3904,7300,5192,1214,261
00687,28534,13879,23010.0,6096,7887,1336,12,0,0,3399,15900,6119,3330,762,157
00688,10985,5691,18014.0,2352,1915,84,0,26,0,5911,3049,2514,1442,197,72
00690,6275,3108,24386.0,872,4399,227,0,0,0,632,1017,1176,855,190,24
00692,32717,13201,25486.0,6104,6943,1429,0,0,0,8429,15916,5934,4181,1539,275
00693,55725,23418,24072.0,9703,14222,2559,0,10,0,11515,27419,11260,7983,1753,177
00694,125,59,15938.0,43,0,0,0,0,0,55,70,33,0,13,0
00698,32945,14695,21921.0,5839,24225,646,24,0,0,4610,3440,8102,4971,1276,311
00703,24642,10963,22147.0,5645,8884,1944,312,0,0,6129,7373,5519,2912,464,134
00704,6433,2788,23330.0,1181,1090,559,0,0,0,386,4398,1768,658,72,18
00705,24475,10901,21806.0,4925,5103,1289,130,0,0,1077,16876,6137,3139,853,336
00707,10400,5520,19173.0,2073,858,2060,0,0,0,6615,867,2146,621,318,58
00714,15573,8463,18931.0,3803,6951,3094,0,0,0,2687,2841,3245,2395,531,83
00715,2003,1329,15743.0,541,537,173,0,0,0,252,1041,566,125,46,0
00716,27705,13557,19522.0,6251,12466,1503,39,0,0,2864,10833,5086,4828,1343,603
00717,14651,7520,13282.0,3932,6372,598,22,12,0,1762,5885,3017,2378,848,167
00718,23174,11068,21481.0,4308,4507,298,0,0,0,17288,1081,6129,2997,771,101
00719,29732,15034,21089.0,5231,9916,2130,0,34,0,1840,15812,5373,3400,763,153
00720,20974,10894,19049.0,4137,7324,936,8,0,0,3103,9603,4445,2221,558,8
00723,15835,7528,23599.0,3320,777,3269,0,0,0,11065,724,3401,1702,863,56
00725,76246,30008,27505.0,14258,34630,6578,234,224,28,17923,16629,13766,12405,3220,958
00727,53412,16884,33403.0,7719,23179,4876,103,186,0,12702,12366,9112,10185,3880,1032
00728,37322,18025,20351.0,7269,18795,2166,20,95,0,5118,11128,7663,5548,1470,342
00729,47653,15732,28765.0,8751,10542,6978,38,313,0,18366,11416,8158,6800,2252,375
00730,31976,16527,18077.0,7314,10431,1343,6,0,0,2105,18091,5954,4842,1499,541
00731,10221,5744,16917.0,2326,4012,390,0,0,0,542,5277,2370,1370,243,73
00735,11159,4630,23009.0,2112,1887,534,36,56,0,7152,1494,2955,1433,218,128
00736,45528,16803,28652.0,8214,16219,3993,459,71,0,12695,12091,10597,6834,2021,806
00738,29797,12093,25365.0,5490,6300,1817,19,147,0,10048,11466,6284,5199,1078,152
00739,34595,12705,26801.0,6423,11636,3876,262,23,0,10859,7939,8040,5013,1287,417
00740,1959,1021,23173.0,404,537,52,0,0,0,768,602,415,355,0,0
00741,3733,1901,25827.0,493,464,204,0,0,0,2832,233,1036,465,55,10
00745,47077,17184,26980.0,8134,8796,5489,107,161,0,15758,16766,9099,7301,1699,191
00751,19596,9591,20947.0,4392,3501,2251,43,0,0,999,12802,5478,2237,536,43
00754,36822,16503,21193.0,7711,2413,6269,0,103,0,26050,1987,6538,3711,1419,269
00757,19974,9079,23350.0,3678,3749,1471,10,31,0,956,13757,4870,3312,599,168
00765,8147,4850,17531.0,1391,1028,222,0,17,0,6252,628,2656,330,138,277
00766,21829,9081,24906.0,4659,7573,2219,16,0,0,2755,9266,4530,2722,591,129
00767,30453,14928,21414.0,7555,2088,5911,0,11,0,21437,1006,5599,3336,699,97
00769,33953,17703,20514.0,7443,6241,2769,9,0,0,1381,23553,9863,4571,918,336
00771,35165,13290,25662.0,6698,2808,5873,20,29,0,25580,855,5856,5275,1965,124
00772,16961,8711,18408.0,4056,1210,6801,0,19,0,7693,1238,4417,1478,199,34
00773,17631,7707,23769.0,3608,3507,1131,0,48,0,6440,6505,3869,2154,570,275
00775,1281,267,27614.0,136,326,22,0,11,0,892,30,313,131,5,0
00777,37243,12557,28175.0,7018,13338,5802,38,28,0,11056,6981,7301,4778,1148,139
00778,40391,12871,39564.0,5471,13951,4195,112,72,0,11809,10252,6438,7197,1905,334
00780,13612,5512,26483.0,2147,3743,1015,0,0,0,736,8118,2363,2031,707,246
00782,18397,9816,17090.0,3441,6019,1786,0,0,0,2342,8250,3752,2010,367,57
00783,34266,14794,24429.0,6226,10787,2553,25,26,0,5942,14933,6661,4254,1034,53
00784,35405,16215,20347.0,8300,17211,3421,21,0,0,4872,9880,8445,3845,1370,418
00786,135,72,,21,55,61,0,0,0,0,19,37,0,0,0
00791,45912,17133,25925.0,7881,6865,2579,0,234,0,33951,2283,11776,6461,2229,420
00794,28450,14008,22128.0,5627,11714,1912,1,0,0,2735,12088,5798,3854,604,42
00795,43212,18578,23391.0,8166,6493,1962,8,1,0,1812,32936,8667,6571,1771,152
00901,6762,2320,25810.0,906,2752,473,1,1,0,1200,2335,1055,1232,737,201
00906,46,0,,0,46,0,0,0,0,0,0,0,8,8,0
00907,15911,3901,42116.0,1140,6041,1457,27,175,0,2591,5620,1594,4208,1937,482
00909,5466,2336,26066.0,879,1669,662,53,15,0,1551,1516,635,994,413,92
00911,7430,2021,44008.0,612,2705,366,32,329,0,1516,2482,693,1930,870,260
00912,6219,1895,29418.0,617,1186,592,13,7,0,2578,1843,892,1210,365,164
00913,6700,4885,6229.0,2126,1303,236,0,76,0,3795,1290,1282,679,161,107
00915,24484,16161,14502.0,5592,2536,2635,43,21,17,14553,4679,5478,1959,223,166
00917,18216,9105,19516.0,3247,4785,1130,8,9,0,7566,4718,3754,2750,1174,130
00918,16379,4744,36872.0,2091,3979,680,38,47,25,4027,7583,1743,4369,1425,577
00920,16403,5936,29914.0,2238,6258,2819,29,0,0,3294,4003,2231,3522,865,254
00921,34197,15416,21797.0,5929,11588,5339,150,13,0,6958,10149,4902,5251,1882,566
00923,24826,12298,18482.0,5416,5137,2595,0,43,0,10743,6308,5172,3012,1078,257
00924,47800,21933,22433.0,9420,18112,8171,70,14,0,11429,10004,7893,6983,2185,459
00925,4777,2506,14940.0,945,1504,516,52,45,0,1534,1126,552,820,383,71
00926,93308,23812,39543.0,10065,34046,8249,277,107,0,15998,34631,10362,21680,8476,2991
00927,13675,3193,39838.0,1156,5637,756,60,39,0,2069,5114,1013,4107,1564,474
00934,80,0,,0,58,0,0,0,0,0,22,0,11,20,0
00949,66714,21451,33380.0,9422,17795,4040,255,28,0,28429,16167,10510,10837,2961,409
00950,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
00951,399,213,22222.0,79,50,95,0,0,0,125,129,105,26,18,0
00952,8488,3388,21960.0,1923,1918,1011,11,0,0,4132,1416,1366,874,188,63
