Location ID,Last Retrieved Date,Successful Calls,Needs Data
09700336,2025-03-04,5,False
09700327,2025-03-05,2,False
09700380,2025-03-05,2,False
09700392,2025-03-05,2,False
09700376,2025-03-05,2,False
09700364,2025-03-05,2,False
09700382,2025-03-05,2,False
09700322,2025-03-05,2,False
09700324,2025-03-05,2,False
09700408,2025-03-05,2,False
09700323,2025-03-05,2,False
01600803,2025-03-05,2,False
01600512,2025-03-05,2,False
01600963,2025-03-05,2,False
01600268,2025-03-05,2,False
01600202,2025-03-05,2,False
01600562,2025-03-05,2,False
01600371,2025-03-05,2,True
01600558,2025-03-05,2,True
01600812,2025-02-26,1,True
01600977,2025-02-26,1,True
02900714,2025-02-26,1,True
02900813,2025-02-26,1,True
02900755,2025-02-26,1,True
540FC008,,0,True
02900774,2025-02-26,1,True
01600891,2025-02-26,1,True
02900800,2025-02-26,1,True
02900776,2025-02-26,1,True
01600251,2025-02-26,1,True
02900752,2025-02-26,1,True
02900722,2025-02-26,1,True
02900799,2025-02-26,1,True
02900753,2025-02-26,1,True
02900730,2025-02-26,1,True
02900739,2025-02-26,1,True
09700388,2025-02-26,1,True
542FC002,,0,True
540FC002,,0,True
09700100,2025-02-26,1,True
09700409,2025-02-26,1,True
09700310,2025-02-26,1,True
09700242,2025-02-26,1,True
09700284,2025-02-26,1,True
09700230,2025-02-26,1,True
09700325,2025-02-26,1,True
09700326,2025-02-26,1,True
09700237,2025-02-26,1,True
09700238,2025-02-26,1,True
09700384,2025-02-26,1,True
09700309,2025-02-26,1,True
09700085,2025-02-26,1,True
09700081,2025-02-26,1,True
09700403,2025-02-26,1,True
09700373,2025-02-26,1,True
09700338,2025-02-26,1,True
09700329,2025-02-26,1,True
09700328,2025-02-26,1,True
09700253,2025-02-26,1,True
09700302,2025-02-26,1,True
09700404,2025-02-26,1,True
09700313,2025-02-26,1,True
09700308,2025-02-26,1,True
09700303,2025-02-26,1,True
09700307,2025-02-26,1,True
02900310,2025-02-26,1,True
09700231,2025-02-26,1,True
09700352,2025-02-26,1,True
09700383,2025-02-26,1,True
09700023,2025-02-26,1,True
09700486,2025-02-26,1,True
09700083,2025-02-26,1,True
09700371,2025-02-26,1,True
09700262,2025-02-26,1,True
09700235,2025-02-26,1,True
09700413,2025-02-26,1,True
09700279,2025-02-26,1,True
09700133,2025-02-26,1,True
09700398,2025-02-26,1,True
542FC321,,0,True
542FC809,,0,True
09700316,2025-02-26,1,True
09700270,2025-02-26,1,True
09700488,2025-02-26,1,True
09700487,2025-02-26,1,True
09700132,2025-02-26,1,True
02900334,2025-02-26,1,True
02900239,2025-02-26,1,True
02900359,2025-02-26,1,True
09700177,2025-02-26,1,True
09700332,2025-02-26,1,True
02900515,2025-02-26,1,True
02900517,2025-02-26,1,True
02900519,2025-02-26,1,True
02900500,2025-02-26,1,True
02900510,2025-02-26,1,True
02900525,2025-02-26,1,True
02900503,2025-02-26,1,True
02900509,2025-02-26,1,True
02900511,2025-02-26,1,True
02900504,2025-02-26,1,True
02900502,2025-02-26,1,True
02900505,2025-02-26,1,True
02900514,2025-02-26,1,True
02900501,2025-02-26,1,True
02900523,2025-02-26,1,True
09700356,2025-02-26,1,True
02900520,2025-02-26,1,True
02900512,2025-02-26,1,True
02900524,2025-02-26,1,True
09700462,2025-02-26,1,True
02900577,2025-02-26,1,True
09700320,2025-02-26,1,True
02900573,2025-02-26,1,True
02900555,2025-02-26,1,True
09700006,2025-02-26,1,True
09700460,2025-02-26,1,True
